User Type,Username,Date,Text
,funkyDL,2009-09-12T19:42Z,learn english
,martian_neighbour,2009-09-13T03:05Z,why is this in top 2? fucking spanish armada cunts.
,Dtang,2009-09-13T05:26Z,"dont mean to rain on the spanish parade but...

the torrent below is easily as good as a dvdrip, and its in english

http://thepiratebay.org/torrent/5081380/District_9%5B2009%5DDvDrip-LW-%5BBit-Byte%5D

i downloaded its such good quality"
,chihaiacos,2009-09-13T14:33Z,super
,The_Game858,2009-09-14T22:15Z,"Fuck you americunts, this is not an american traker, you aren't the whole world, faggots"
,osymanako,2009-09-15T00:15Z,"What a crap, its one of the worst movie i ever seen, so if yuo are a cineast dont download this shit"
,numse,2009-09-15T12:05Z,pls stop spamming all this spanish syncd crap! r fucking up the bay
,Esmad3,2009-09-15T18:09Z,"I like extremezone's up's (not this one though, sync is crap no matter what language) but if everyone advertised their torrents like him it would destroy the search engine. So please stop."
,allovher,2009-09-15T23:15Z,"piratebay is now swarming with MPAA RIAA employees. Do NOT invite ANYONE on TPB to demonoid, I need at least 1 untainted torrent tracking service. Do not help the racist evil white men take away more from the common man, they've taken enough already. "
,Astralia,2009-09-16T06:50Z,Im swedish and i too agree that all this spanish shit is fucked up...fucking greaseballs!
,fotimer,2009-09-16T10:32Z,"astralia, eres un pobre inculto!"
,xgp_alex28,2009-09-16T12:06Z,subtitles: http://www.addic7ed.com/film/District_9_(2009)-Download
,Ghostbiker,2009-09-16T18:41Z,"Ohh these Americans! We have 23 official languages in the European Union! I'm German and fluent both with English and Spanish and I also can understand a little bit French, Italian, Netherland and Portuguese. So please STOP COMPLAINING ABOUT SPANISH MOVIES IN THE PIRATE BAY AND LEARN THIS GOD-DAMNED LANGUAGE!"
,topio,2009-09-16T19:16Z,Thanks for this post!
,Sephirtohsclon,2009-09-16T19:30Z,"Stop being rascist you faggs, get a life. La pelicula esta muy buena, this film is really good 9/10"
,avilve,2009-09-17T15:54Z,Gracias amigo Alguien podria decirme la calidad de la pelicula??
,numse,2009-09-17T18:22Z,"why the fuck would anyone want to learn spanish? huh?

just pls get ur own fucking torrent site! and stop spamming the bay!"
,MrOsborn,2009-09-18T00:43Z,Isn't The Piratebay a Swedish site?
,fotimer,2009-09-18T12:11Z,"Thanks for this post, Ghostbiker."
,braab69,2009-09-18T18:11Z,"Reading the comments, I can see the argument. So why US people, don't you start your own PB on US soil in stead of bad mouthing the rest of the world? Ahhh, force of habit..."
,swimtwo,2009-09-19T02:43Z,could anyone kindly give a numerical av count? and whether or not its a frigging dvd screener?
,martian_neighbour,2009-09-19T09:38Z,"@swimtwo ^^

V = 9
A = 9
M = -9999

DOn't bother it's in shit spanish language."
,izmikey,2009-09-19T18:36Z,"@numse
Why would anyone learn spanish you say? Easy...if you learn spanish it would be a lot easier to hide the fact that you're a dumb piece of sh*t redneck. The pirate bay isnt for just america dumbass, its for the world butt munch."
,numse,2009-09-19T19:00Z,"im danish u ass! its next to sweden u pastalamer!

and i speak english, german, french and most scandinavian languages! i bet more than u atleast!

fucking piece of shit thinking im american! whos the fucktard know?"
,80xing,2009-09-21T00:36Z,"@izmikey

your a fucking retard"
,tannhausser,2009-09-21T03:34Z,"You can complain all you want about hispanics, still they are taking over your country and will fuck all your women :)"
