Serge Devant - Wanderer (2009)

Enjoy!

01-serge_devant-sweet_harmony.mp3	7.33 MiB
02-serge_devant-take_me_with_you_(ft._emma_hewitt).mp3	7.55 MiB
03-serge_devant-stuck_in_the_80s.mp3	5.69 MiB
04-serge_devant-12_wives_in_tehran_(ft._nadia_ali).mp3	8.7 MiB
05-serge_devant-part_of_me_(ft._kyven).mp3	8.7 MiB
06-serge_devant-addicted_(ft._hadley).mp3	7.61 MiB
07-serge_devant-shadow_(ft._second_sun).mp3	5.96 MiB
08-serge_devant-no_good_(ft._jaren).mp3	6.88 MiB
09-serge_devant-midnight_train_(ft._hadley).mp3	5.77 MiB
10-serge_devant-surround_you_(ft._kyven).mp3	5.84 MiB
11-serge_devant-wanderer_(ft._hadley).mp3	6.76 MiB
12-serge_devant-people_(ft._kyle).mp3	6 MiB
13-serge_devant-peace_(ft._hadley)_(bonus_track).mp3	5.61 MiB
