Track 	Titel  	
1-1 	Get on your boots
	
	
1-2 	Magnificient
	
	
1-3 	Mysterious ways
	
	
1-4 	Beautiful day
	
	
1-5 	I still haven't found what I'm looking for
	
	
1-6 	Stuck in a moment you can't get out of
	
	
1-7 	No line on the horizon
	
	
1-8 	Elevation
	
	
1-9 	In a little while
	
	
1-10 	Unknown caller
	
	
1-11 	Until the end of the world
	
	
1-12 	The unforgettable fire
	
	
1-13 	City of blinding lights
	
	
1-14 	Vertigo
	
	
1-15 	I'll go crazy if I don't go crazy tonight
	
	
1-16 	Sunday bloody Sunday
	
	
1-17 	Milk
	
	
1-18 	Walk on
	
	
1-19 	One
	
	
1-20 	Where the streets have no name
	
	
1-21 	Ultra violet (Light my way)
	
	
1-22 	With or without you
	
	
1-23 	Moment of surrender
	
